brand;model;version;registration_base_description;my_code;control;msrp;retail_bonus;trade_in_bonus;subsidized_rate_monthly;down_payment_percent;installments;rate_cost;insurance_years;ipva_value;others_bonus;dealer_rebate;total_customer_benefit;comment;offer_month_code
Fiat;Pulse;Impetus 1.0 TGDI MHEV AT;FIAT/PULSE IMPETUS HYB;25/26;Fiat Pulse Impetus 1.0 TGDI MHEV AT 2526;R$146.990;R$0;R$10.000;0,00;70;18;R$4.100;0Y;R$0;R$0;R$0;R$14.100;0;202508
Fiat;Pulse;Abarth 1.3 TGDI AT;FIAT/PULSE ABARTH 270;25/26;Fiat Pulse Abarth 1.3 TGDI AT 2526;R$157.990;R$0;R$0;0,00;00;00;;0Y;R$0;R$0;R$0;R$0;0;202508
Fiat;Fastback;1.0 TGDI AT;FIAT/FASTBACK TURBO 200;25/26;Fiat Fastback 1.0 TGDI AT 2526;R$119.990;R$0;R$0;0,00;00;00;;0Y;R$0;R$0;R$0;R$0;0;202508
Fiat;Fastback;Audace 1.0 TGDI MHEV AT;FIAT/FASTBACK AUDACE HYB;25/26;Fiat Fastback Audace 1.0 TGDI MHEV AT 2526;R$159.990;R$0;R$0;0,00;00;00;;0Y;R$0;R$0;R$0;R$0;0;202508
Fiat;Fastback;Impetus 1.0 TGDI MHEV AT;FIAT/FASTBACK IMPETUS HY;25/26;Fiat Fastback Impetus 1.0 TGDI MHEV AT 2526;R$167.990;R$7.000;R$18.000;0,00;70;18;R$4.700;0Y;R$0;R$0;R$0;R$29.700;0;202508
Fiat;Fastback;Limited Edition 1.3 TGDI AT;FIAT/FASTBACK LIMITED ED;25/26;Fiat Fastback Limited Edition 1.3 TGDI AT 2526;R$171.990;R$7.000;R$13.000;0,00;70;18;R$4.800;0Y;R$0;R$0;R$0;R$24.800;0;202508
Fiat;Fastback;Abarth 1.3 TGDI AT;FIAT/FASTBACK ABARTH 270;25/26;Fiat Fastback Abarth 1.3 TGDI AT 2526;R$177.990;R$0;R$8.000;0,00;70;18;R$4.900;0Y;R$0;R$0;R$0;R$12.900;0;202508
BYD;Yuan Plus;GL EV;I/BYD YUAN PLUS GL 310EV;25/26;BYD Yuan Plus GL EV 2526;R$235.990;R$0;R$25.000;0,00;60;24;R$12.500;0Y;R$0;R$0;R$0;R$44.580;0;202509
BYD;Yuan Pro;GS EV;I/BYD YUAN PRO GS 290EV;25/25;BYD Yuan Pro GS EV 2525;R$182.990;R$0;R$13.000;0,00;60;24;R$9.700;0Y;R$0;R$0;R$0;R$28.190;0;202509
VW;Tera;1.0 MPI MT;VW/TERA MPI;25/26;VW Tera 1.0 MPI MT 2526;R$105.890;R$0;R$0;0,00;80;12;R$1.200;0Y;R$0;R$0;R$0;R$1.200;0;202509
VW;Tera;1.0 TGDI MT;VW/TERA TSI;25/26;VW Tera 1.0 TGDI MT 2526;R$118.890;R$0;R$0;0,00;80;12;R$1.400;0Y;R$0;R$0;R$0;R$1.400;0;202509
VW;Tera;Comfort 1.0 TGDI AT;VW/TERA COMFORT TSI;25/26;VW Tera Comfort 1.0 TGDI AT 2526;R$128.890;R$5.000;R$0;0,00;60;18;R$5.100;0Y;R$0;R$0;R$0;R$10.100;0;202509
VW;Tera;High 1.0 TGDI AT;VW/TERA HIGH TSI;25/26;VW Tera High 1.0 TGDI AT 2526;R$141.890;R$5.000;R$0;0,00;60;18;R$5.600;0Y;R$0;R$0;R$0;R$10.600;0;202509
Toyota;Corolla Cross;XR 2.0 CVT;TOYOTA/CCROSS XR 20;25/26;Toyota Corolla Cross XR 2.0 CVT 2526;R$188.990;R$0;R$0;0,00;00;00;;0Y;R$0;R$0;R$0;R$0;0;202509
BYD;Dolphin;Plus EV;I/BYD DOLPHIN PLUS 310EV;25/25;BYD Dolphin Plus EV 2525;R$184.800;R$15.000;R$0;0,00;60;30;R$12.200;0Y;R$0;R$0;R$0;R$15.000;0;202508
BYD;Song Pro;GL 1.5 PHEV DHT;I/BYD SONG PRO GL DM;25/26;BYD Song Pro GL 1.5 PHEV DHT 2526;R$189.990;R$0;R$10.000;0,00;00;00;;0Y;R$0;R$0;R$0;R$10.000;0;202509
BYD;Song Pro;GS 1.5 PHEV DHT;I/BYD SONG PRO GS DM;25/26;BYD Song Pro GS 1.5 PHEV DHT 2526;R$199.990;R$0;R$5.000;0,00;00;00;;1Y;R$0;R$0;R$0;R$11.000;0;202509
BYD;Song Plus;GS 1.5 PHEV DHT;I/BYD SONG PLUS GS DM;25/26;BYD Song Plus GS 1.5 PHEV DHT 2526;R$249.990;R$0;R$5.000;0,00;60;30;R$16.600;1Y;R$0;R$0;R$0;R$29.100;0;202509
BYD;Song Plus;Premium 1.5 TGDI PHEV DHT;I/BYD SONG PLUS PREM DM;25/26;BYD Song Plus Premium 1.5 TGDI PHEV DHT 2526;R$299.800;R$0;R$7.000;0,00;60;30;R$19.900;1Y;R$0;R$0;R$0;R$35.894;0;202509
GAC;GS4;Premium 2.0 HEV CVT;I/GAC GS4 PREMIUM;25/26;GAC GS4 Premium 2.0 HEV CVT 2526;R$191.990;R$0;R$20.000;0,00;50;36;R$20.200;0Y;R$0;R$0;R$0;R$40.200;0;202509
GAC;GS4;Elite 2.0 HEV CVT;I/GAC GS4 ELITE;25/26;GAC GS4 Elite 2.0 HEV CVT 2526;R$209.990;R$0;R$10.000;0,00;60;12;R$5.300;0Y;R$0;R$0;R$0;R$15.300;0;202509
GAC;Aion V;Elite EV;I/GAC AION V ELITE;25/26;GAC Aion V Elite EV 2526;R$214.990;R$0;R$10.000;0,00;60;12;R$5.700;0Y;R$0;R$0;R$0;R$15.700;0;202509
GWM;Haval H6;One 1.5 TGDI HEV DHT;I/GWM HAVAL H6 HEV;25/25;GWM Haval H6 One 1.5 TGDI HEV DHT 2525;R$199.000;R$0;R$15.000;0,00;60;24;R$10.500;1Y;R$0;R$0;R$5.000;R$25.500;0;202509
GWM;Haval H6;2 1.5 TGDI HEV DHT;"I/GWM HAVAL H6 PREM HEV;I/GWM HAVAL H6 HEV2";25/25;GWM Haval H6 2 1.5 TGDI HEV DHT 2525;R$220.000;R$0;R$15.000;0,00;60;24;R$11.700;1Y;R$0;R$0;R$5.000;R$26.700;0;202509
GWM;Haval H6;19 1.5 TGDI PHEV DHT;"I/GWM HAVAL H6 PHEV 19;I/GWM HAVAL H6 PHEV19";25/25;GWM Haval H6 19 1.5 TGDI PHEV DHT 2525;R$245.000;R$0;R$15.000;0,00;60;24;R$13.000;1Y;R$0;R$0;R$5.000;R$28.000;0;202509
GWM;Haval H6;34 1.5 TGDI PHEV DHT;I/GWM HAVAL H6 PREM PHEV;25/25;GWM Haval H6 34 1.5 TGDI PHEV DHT 2525;R$288.000;R$0;R$25.000;0,00;60;24;R$15.300;1Y;R$0;R$0;R$10.000;R$40.300;0;202509
GWM;Haval H6;GT 1.5 TGDI PHEV DHT;I/GWM HAVAL H6 GT;25/25;GWM Haval H6 GT 1.5 TGDI PHEV DHT 2525;R$325.000;R$0;R$25.000;0,00;60;24;R$17.200;1Y;R$0;R$0;R$10.000;R$42.200;0;202509
GWM;Ora 03;Skin EV;I/GWM ORA 03 SKIN BEV48;25/26;GWM Ora 03 Skin EV 2526;R$169.000;R$15.000;R$10.000;0,00;60;32;R$11.900;1Y;R$0;R$0;R$3.080;R$10.000;0;202509
GWM;Ora 03;GT EV;I/GWM ORA 03 GT BEV63;25/26;GWM Ora 03 GT EV 2526;R$199.000;R$10.000;R$10.000;0,00;60;24;R$10.500;1Y;R$0;R$0;R$3.780;R$10.000;0;202509
Jeep;Renegade;Longitude 1.3 TGDI AT;JEEP/RENEGADE LGTD T270;25/26;Jeep Renegade Longitude 1.3 TGDI AT 2526;R$159.990;R$3.000;R$9.000;0,00;50;30;R$14.200;0Y;R$0;R$0;R$0;R$26.200;0;202509
Jeep;Renegade;Sahara 1.3 TGDI AT;JEEP/RENEGADE SAHARA;25/26;Jeep Renegade Sahara 1.3 TGDI AT 2526;R$169.990;R$0;R$5.000;0,00;60;30;R$11.300;0Y;R$0;R$0;R$0;R$16.300;0;202509
Jeep;Renegade;Willys 1.3 TGDI AT 4x4;JEEP/RENEGADE WILLYS 4X4;25/26;Jeep Renegade Willys 1.3 TGDI AT 4x4 2526;R$182.990;R$0;R$0;0,00;60;30;R$12.100;0Y;R$0;R$0;R$0;R$12.100;0;202509
Jeep;Compass;Sport 1.3 TGDI AT;JEEP/COMPASS SPORT T;25/26;Jeep Compass Sport 1.3 TGDI AT 2526;R$169.990;R$7.500;R$0;0,00;00;00;;0Y;R$0;R$0;R$0;R$7.500;0;202509
Jeep;Compass;Longitude 1.3 TGDI AT;JEEP/COMPASS LONG T;25/26;Jeep Compass Longitude 1.3 TGDI AT 2526;R$192.990;R$3.000;R$5.000;0,00;50;30;R$17.100;0Y;R$0;R$0;R$0;R$25.100;0;202509
Jeep;Compass;Serie S 1.3 TGDI AT;JEEP/COMPASS SERIE S T;25/26;Jeep Compass Serie S 1.3 TGDI AT 2526;R$236.990;R$2.000;R$8.000;0,00;60;30;R$15.700;0Y;R$0;R$0;R$0;R$25.700;0;202509
Jeep;Compass;Blackhawk 2.0 TGDI AT;JEEP/COMPASS BLACKHAWK;25/26;Jeep Compass Blackhawk 2.0 TGDI AT 2526;R$279.990;R$5.000;R$5.000;0,00;60;30;R$18.600;0Y;R$0;R$0;R$0;R$28.600;0;202509
Jeep;Commander;Longitude 1.3 TGDI AT;JEEP/COMMANDER LONG T;25/26;Jeep Commander Longitude 1.3 TGDI AT 2526;R$220.990;R$0;R$2.500;0,00;00;00;;0Y;R$0;R$0;R$0;R$2.500;0;202509
Jeep;Commander;Overland 1.3 TGDI AT;"JEEP/COMMANDER OVR T;JEEP/COMMANDER OVE 7 270";25/26;Jeep Commander Overland 1.3 TGDI AT 2526;R$273.990;R$0;R$16.500;0,00;00;00;;0Y;R$0;R$0;R$0;R$16.500;0;202509
Jeep;Commander;Overland 2.2 TD AT 4x4;JEEP/COMMANDER OVR TD;25/26;Jeep Commander Overland 2.2 TD AT 4x4 2526;R$308.490;R$0;R$18.500;0,00;00;00;;0Y;R$0;R$0;R$0;R$18.500;0;202509
Jeep;Commander;Limited 1.3 TGDI AT;"JEEP/COMMANDER LIM T;JEEP/COMMANDER LIM 7 270";25/26;Jeep Commander Limited 1.3 TGDI AT 2526;R$246.990;R$0;R$14.500;0,00;00;00;;0Y;R$0;R$0;R$0;R$14.500;0;202509
Jeep;Commander;Overland Hurricane 2.0 TGDI AT 4x4;JEEP/COMMANDER OVR T 2.0;25/26;Jeep Commander Overland Hurricane 2.0 TGDI AT 4x4 2526;R$324.990;R$0;R$19.500;0,00;00;00;;0Y;R$0;R$0;R$0;R$19.500;0;202509
Volvo;EX30;Core EV;I/VOLVO EX30 E40 CORE;24/24;Volvo EX30 Core EV 2424;R$229.950;R$0;R$20.000;0,00;50;36;R$24.500;0Y;R$0;R$0;R$0;R$44.500;0;202509
Volvo;EX30;Core ER EV;I/VOLVO EX30 E60 CORE;24/24;Volvo EX30 Core ER EV 2424;R$249.950;R$0;R$20.000;0,00;50;36;R$26.600;0Y;R$0;R$0;R$0;R$46.600;0;202509
Volvo;EX30;Plus EV;I/VOLVO EX30 E60 PLUS;24/24;Volvo EX30 Plus EV 2424;R$269.950;R$0;R$20.000;0,00;50;36;R$28.700;0Y;R$0;R$0;R$0;R$48.700;0;202509
Volvo;EX30;Ultra EV;I/VOLVO EX30 E60 ULTRA;24/24;Volvo EX30 Ultra EV 2424;R$299.950;R$0;R$20.000;0,00;50;36;R$31.900;0Y;R$0;R$0;R$0;R$51.900;0;202509
Omoda;E5;EV;I/OMODA E5;25/26;Omoda E5 EV 2526;R$209.990;R$0;R$10.000;0,00;60;24;R$11.100;0Y;R$0;R$0;R$6.000;R$21.100;0;202509
Geely;EX5;Pro EV;I/GEELY EX5 PRO;25/26;Geely EX5 Pro EV 2526;R$205.800;R$10.000;R$6.000;0,89;60;36;R$6.300;0Y;R$0;R$4.000;R$0;R$22.300;0;202509
Hyundai;Creta;Comfort 1.0 TGDI AT;HYUNDAI/CRETA1TF COMFORT;25/26;Hyundai Creta Comfort 1.0 TGDI AT 2526;R$151.290;R$10.000;R$0;0,00;60;18;R$6.000;0Y;R$0;R$0;R$3.300;R$16.000;0;202509
Hyundai;Creta;Limited 1.0 TGDI AT;HYUNDAI/CRETA1TF LIMITED;25/26;Hyundai Creta Limited 1.0 TGDI AT 2526;R$167.290;R$15.000;R$0;0,00;60;18;R$6.700;0Y;R$0;R$0;R$5.000;R$21.700;0;202509
Hyundai;Creta;Platinum 1.0 TGDI AT;HYUNDAI/CRETA1TF PLATINU;25/26;Hyundai Creta Platinum 1.0 TGDI AT 2526;R$182.890;R$6.000;R$0;0,00;60;18;R$7.300;0Y;R$0;R$0;R$0;R$13.300;0;202509
Hyundai;Creta;N Line 1.0 TGDI AT;HYUNDAI/CRETA1TF NLINE;25/26;Hyundai Creta N Line 1.0 TGDI AT 2526;R$189.890;R$6.000;R$0;0,00;60;18;R$7.500;0Y;R$0;R$0;R$0;R$13.500;0;202509
Hyundai;Creta;Ultimate 1.6 TGDI DCT;HYUNDAI/CRETA16G ULTIMTE;25/26;Hyundai Creta Ultimate 1.6 TGDI DCT 2526;R$199.590;R$6.000;R$0;0,00;60;18;R$7.900;0Y;R$0;R$0;R$0;R$13.900;0;202509
GWM;Haval H9;Exclusive 2.4 TD AT;I/GWM HAVAL H9 EXC;25/26;GWM Haval H9 Exclusive 2.4 TD AT 2526;R$319.000;R$0;R$0;0,00;00;00;;0Y;R$0;R$0;R$0;R$0;0;202509
Honda;ZR-V;Touring 2.0 CVT;I/HONDA ZR-V TOURING;25/25;Honda ZR-V Touring 2.0 CVT 2525;R$214.500;R$0;R$0;0,00;00;00;;0Y;R$0;R$0;R$0;R$0;0;202509
Chery;Tiggo 7;Pro 1.5 TCI PHEV DHT;I/CAOACHERY TIGGO7 PHEV;25/26;Chery Tiggo 7 Pro 1.5 TCI PHEV DHT 2526;R$219.990;R$0;R$0;0,00;00;00;;0Y;R$0;R$0;R$0;R$0;0;202510
Chery;Tiggo 7;Sport 1.5 TCI CVT;CAOACHERY/TIGGO7 SPORT;25/26;Chery Tiggo 7 Sport 1.5 TCI CVT 2526;R$139.990;R$0;R$0;0,00;00;00;;0Y;R$0;R$0;R$0;R$0;0;202510
Chery;Tiggo 7;Pro Max Drive 1.6 TGDI DCT;CAOACHERY/TIGGO7 PRO16TA;25/26;Chery Tiggo 7 Pro Max Drive 1.6 TGDI DCT 2526;R$169.990;R$0;R$0;0,00;00;00;;0Y;R$0;R$0;R$0;R$0;0;202510
Chery;Tiggo 8;Pro 1.6 TGDI DCT;CAOACHERY/TIGGO8 16TA;25/26;Chery Tiggo 8 Pro 1.6 TGDI DCT 2526;R$194.990;R$0;R$0;0,00;00;00;;0Y;R$0;R$0;R$0;R$0;0;202510
Chery;Tiggo 7;Pro 1.5 TCI HEV CVT;CAOACHERY/TIGGO7 PRO HA;25/26;Chery Tiggo 7 Pro 1.5 TCI HEV CVT 2526;R$169.990;R$0;R$0;0,00;00;00;;0Y;R$0;R$0;R$0;R$0;0;202510
GAC;Aion V;Elite EV;I/GAC AION V ELITE;25/26;GAC Aion V Elite EV 2526;R$219.990;R$0;R$10.000;0,00;70;24;R$8.100;0Y;R$0;R$0;R$5.000;R$10.000;0;202510
Geely;EX5;Pro EV;I/GEELY EX5 PRO;25/26;Geely EX5 Pro EV 2526;R$205.800;R$25.000;R$0;0,00;60;18;R$8.200;0Y;R$0;R$4.000;R$0;R$33.200;0;202510
Fiat;Pulse;Drive 1.3 AT;FIAT/PULSE DRIVE AT;25/26;Fiat Pulse Drive 1.3 AT 2526;R$112.990;R$0;R$2.000;0,00;00;00;;0Y;R$0;R$0;R$0;R$2.000;0;202510
Fiat;Pulse;Audace 1.0 TGDI MHEV AT;FIAT/PULSE AUDACE HYB;25/26;Fiat Pulse Audace 1.0 TGDI MHEV AT 2526;R$132.990;R$0;R$9.000;0,00;70;18;R$3.700;0Y;R$0;R$0;R$0;R$12.700;0;202510
Fiat;Fastback;Audace 1.0 TGDI MHEV AT;FIAT/FASTBACK AUDACE HYB;25/26;Fiat Fastback Audace 1.0 TGDI MHEV AT 2526;R$160.990;R$7.000;R$17.000;0,00;70;18;R$4.500;0Y;R$0;R$0;R$0;R$28.500;0;202510
GM;Tracker;LT 1.0 TGDI AT;"I/CHEV TRACKER T A LT;CHEV/TRACKER T A LT";25/26;GM Tracker LT 1.0 TGDI AT 2526;R$142.490;R$0;R$0;0,00;00;00;;0Y;R$0;R$0;R$0;R$0;0;202510
GM;Tracker;LTZ 1.0 TGDI AT;CHEV/TRACKER T A LTZ;25/26;GM Tracker LTZ 1.0 TGDI AT 2526;R$157.690;R$0;R$0;0,00;00;00;;0Y;R$0;R$0;R$0;R$0;0;202510
GM;Tracker;Premier 1.2 TGDI AT;"I/CHEV TRACKER 12T A PR;CHEV/TRACKER 12T A PR";25/26;GM Tracker Premier 1.2 TGDI AT 2526;R$174.990;R$0;R$0;0,00;00;00;;0Y;R$0;R$0;R$0;R$0;0;202510
GM;Tracker;RS 1.2 TGDI AT;CHEV/TRACKER 12T A RS;25/26;GM Tracker RS 1.2 TGDI AT 2526;R$175.990;R$0;R$0;0,00;00;00;;0Y;R$0;R$0;R$0;R$0;0;202510
GWM;Ora 03;GT EV;I/GWM ORA 03 GT BEV63;25/26;GWM Ora 03 GT EV 2526;R$189.000;R$15.000;R$10.000;0,00;60;24;R$10.000;1Y;R$0;R$0;R$3.780;R$25.000;0;202510
GWM;Ora 03;Skin EV;I/GWM ORA 03 SKIN BEV48;25/26;GWM Ora 03 Skin EV 2526;R$154.000;R$15.000;R$10.000;0,00;60;32;R$10.900;1Y;R$0;R$0;R$3.080;R$25.000;0;202510
Nissan;Kicks;Sense 1.0 TGDI DCT;NISSAN/KICKS SENSE AT;25/26;Nissan Kicks Sense 1.0 TGDI DCT 2526;R$166.990;R$0;R$17.300;0,00;70;18;R$4.600;0Y;R$0;R$0;R$2.700;R$21.900;0;202510
Nissan;Kicks;Advance 1.0 TGDI DCT;NISSAN/KICKS ADVANCE AT;25/26;Nissan Kicks Advance 1.0 TGDI DCT 2526;R$177.990;R$0;R$17.300;0,00;70;18;R$4.900;0Y;R$0;R$0;R$2.700;R$22.200;0;202510
Nissan;Kicks;Exclusive 1.0 TGDI DCT;NISSAN/KICKS EXCLUSIV AT;25/26;Nissan Kicks Exclusive 1.0 TGDI DCT 2526;R$184.790;R$0;R$13.500;0,00;70;18;R$5.100;0Y;R$0;R$0;R$1.500;R$18.600;0;202510
VW;Nivus;Comfortline 1.0 TGDI AT;VW/NIVUS CL TSI;25/26;VW Nivus Comfortline 1.0 TGDI AT 2526;R$149.990;R$5.000;R$5.000;0,99;40;48;R$8.600;0Y;R$0;R$0;R$1.000;R$18.600;0;202510
VW;Nivus;Highline 1.0 TGDI AT;VW/NIVUS HL TSI;25/26;VW Nivus Highline 1.0 TGDI AT 2526;R$165.990;R$12.800;R$5.200;0,99;50;36;R$5.600;0Y;R$0;R$0;R$2.000;R$23.600;0;202510
VW;Nivus;GTS 1.4 TGDI AT;VW/NIVUS GTS;25/26;VW Nivus GTS 1.4 TGDI AT 2526;R$182.990;R$0;R$0;0,00;70;18;R$5.100;0Y;R$0;R$0;R$0;R$5.100;0;202510
VW;T-Cross;1.0 TGDI AT;VW/T CROSS TSI;25/26;VW T-Cross 1.0 TGDI AT 2526;R$155.990;R$5.136;R$0;0,00;80;12;R$1.800;0Y;R$0;R$0;R$2.000;R$6.936;0;202510
VW;T-Cross;Comfortline 1.0 TGDI AT;VW/T CROSS CL TSI;25/26;VW T-Cross Comfortline 1.0 TGDI AT 2526;R$175.990;R$7.000;R$10.000;0,00;60;24;R$9.300;0Y;R$0;R$0;R$0;R$26.300;0;202510
VW;T-Cross;Highline 1.4 TGDI AT;VW/T CROSS HL TSI;25/26;VW T-Cross Highline 1.4 TGDI AT 2526;R$189.990;R$10.000;R$7.000;0,00;60;30;R$12.600;0Y;R$0;R$0;R$2.000;R$29.600;0;202510
VW;T-Cross;Extreme 1.4 TGDI AT;VW/T CROSS EXTREME TSI;25/26;VW T-Cross Extreme 1.4 TGDI AT 2526;R$196.990;R$10.000;R$7.000;0,00;60;30;R$13.100;0Y;R$0;R$0;R$2.000;R$30.100;0;202510
Hyundai;Creta;N Line 1.0 TGDI AT;HYUNDAI/CRETA1TF NLINE;25/26;Hyundai Creta N Line 1.0 TGDI AT 2526;R$189.890;R$10.000;R$0;0,00;60;18;R$7.500;0Y;R$0;R$0;R$0;R$17.500;0;202510
Geely;EX5;Max EV;I/GEELY EX5 MAX;25/26;Geely EX5 Max EV 2526;R$225.800;R$10.000;R$0;0,00;60;18;R$9.000;0Y;R$0;R$4.000;R$0;R$14.000;0;202510
VW;Tera;Comfort 1.0 TGDI AT;VW/TERA COMFORT TSI;25/26;VW Tera Comfort 1.0 TGDI AT 2526;R$128.890;R$7.000;R$0;0,00;60;18;R$5.100;0Y;R$0;R$0;R$1.300;R$12.100;0;202510
VW;Tera;High 1.0 TGDI AT;VW/TERA HIGH TSI;25/26;VW Tera High 1.0 TGDI AT 2526;R$141.890;R$8.000;R$0;0,00;60;18;R$5.600;0Y;R$0;R$0;R$2.000;R$13.600;0;202510
VW;T-Cross;Sense 1.0 TGDI AT;VW/T CROSS SENSE TSI;25/26;VW T-Cross Sense 1.0 TGDI AT 2526;R$119.990;R$0;R$0;0,00;70;18;R$3.300;0Y;R$0;R$0;R$0;R$3.300;0;202510
VW;Tiguan;Allspace R-Line 2.0 TGDI AT;I/VW TIGUAN ALLSPACE RL;25/25;VW Tiguan Allspace R-Line 2.0 TGDI AT 2525;R$305.990;R$35.000;R$11.000;0,49;60;24;R$10.700;0Y;R$0;R$0;R$5.000;R$56.700;0;202510
Nissan;Kicks;Platinum 1.0 TGDI DCT;NISSAN/KICKS PLATINUM AT;25/26;Nissan Kicks Platinum 1.0 TGDI DCT 2526;R$199.000;R$0;R$13.500;0,00;70;18;R$5.500;0Y;R$0;R$0;R$1.500;R$19.000;0;202510
GAC;GS4;Elite 2.0 HEV CVT;I/GAC GS4 ELITE;25/26;GAC GS4 Elite 2.0 HEV CVT 2526;R$209.990;R$0;R$12.000;0,00;70;24;R$7.800;0Y;R$0;R$0;R$5.000;R$12.000;0;202510
GAC;GS4;Premium 2.0 HEV CVT;I/GAC GS4 PREMIUM;25/26;GAC GS4 Premium 2.0 HEV CVT 2526;R$191.990;R$0;R$15.000;0,00;70;12;R$3.500;0Y;R$0;R$0;R$3.000;R$15.000;0;202510
BYD;Dolphin;Mini GS EV;I/BYD DOLPHIN MINI GS EV;25/26;BYD Dolphin Mini GS EV 2526;R$119.990;R$0;R$0;1,46;70;60;-R$100;0Y;R$0;R$0;R$0;-R$100;0;202510
BYD;Dolphin;GS EV;I/BYD DOLPHIN GS 180EV;25/26;BYD Dolphin GS EV 2526;R$149.990;R$0;R$8.000;0,00;70;24;R$5.500;0Y;R$0;R$0;R$0;R$13.500;0;202510
BYD;Dolphin;Plus EV;I/BYD DOLPHIN PLUS 310EV;25/25;BYD Dolphin Plus EV 2525;R$184.800;R$0;R$0;0,00;70;24;R$6.800;0Y;R$0;R$0;R$0;R$6.800;0;202510
BYD;Yuan Pro;GS EV;I/BYD YUAN PRO GS 290EV;25/25;BYD Yuan Pro GS EV 2525;R$182.990;R$0;R$10.000;0,00;70;24;R$6.800;0Y;R$0;R$0;R$0;R$16.800;0;202510
BYD;Yuan Plus;GL EV;I/BYD YUAN PLUS GL 310EV;25/26;BYD Yuan Plus GL EV 2526;R$235.990;R$0;R$15.000;0,00;70;24;R$8.700;0Y;R$0;R$0;R$0;R$23.700;0;202510
BYD;Song Pro;GS 1.5 PHEV DHT;I/BYD SONG PRO GS DM;25/26;BYD Song Pro GS 1.5 PHEV DHT 2526;R$199.990;R$0;R$5.000;0,00;70;24;R$7.400;1Y;R$0;R$0;R$0;R$18.400;0;202510
BYD;Song Plus;GS 1.5 PHEV DHT;I/BYD SONG PLUS GS DM;25/26;BYD Song Plus GS 1.5 PHEV DHT 2526;R$249.990;R$0;R$10.000;0,00;70;24;R$9.200;0Y;R$0;R$0;R$0;R$19.200;0;202510
BYD;Song Plus;Premium 1.5 TGDI PHEV DHT;I/BYD SONG PLUS PREM DM;25/26;BYD Song Plus Premium 1.5 TGDI PHEV DHT 2526;R$299.800;R$0;R$20.000;0,00;70;36;R$16.600;0Y;R$0;R$0;R$0;R$36.600;0;202510
GWM;Haval H6;19 1.5 TGDI PHEV DHT;"I/GWM HAVAL H6 PHEV 19;I/GWM HAVAL H6 PHEV19";25/25;GWM Haval H6 19 1.5 TGDI PHEV DHT 2525;R$245.000;R$0;R$20.000;0,00;60;36;R$19.500;1Y;R$0;R$0;R$5.000;R$39.500;0;202510
GWM;Haval H6;34 1.5 TGDI PHEV DHT;I/GWM HAVAL H6 PREM PHEV;25/25;GWM Haval H6 34 1.5 TGDI PHEV DHT 2525;R$288.000;R$0;R$25.000;0,00;60;36;R$22.900;1Y;R$0;R$0;R$10.000;R$47.900;0;202510
GWM;Haval H6;GT 1.5 TGDI PHEV DHT;I/GWM HAVAL H6 GT;25/25;GWM Haval H6 GT 1.5 TGDI PHEV DHT 2525;R$325.000;R$0;R$30.000;0,00;60;36;R$25.800;1Y;R$0;R$0;R$10.000;R$55.800;0;202510
Jaecoo;7;Luxury 1.5 TGDI PHEV DHT;I/JAECOO 7 LUXURY;25/26;Jaecoo 7 Luxury 1.5 TGDI PHEV DHT 2526;R$229.990;R$10.000;R$25.500;0,00;60;24;R$12.200;0Y;R$0;R$0;R$6.000;R$35.500;0;202510
Omoda;E5;EV;I/OMODA E5;25/26;Omoda E5 EV 2526;R$209.990;R$0;R$10.000;0,00;60;24;R$11.100;0Y;R$0;R$4.000;R$6.000;R$21.100;0;202510
Jeep;Renegade;Longitude 1.3 TGDI AT;JEEP/RENEGADE LGTD T270;25/26;Jeep Renegade Longitude 1.3 TGDI AT 2526;R$159.990;R$3.000;R$14.000;0,00;50;30;R$14.200;0Y;R$0;R$0;R$0;R$31.200;0;202510
Jeep;Compass;Longitude 1.3 TGDI AT;JEEP/COMPASS LONG T;25/26;Jeep Compass Longitude 1.3 TGDI AT 2526;R$192.990;R$3.000;R$11.000;0,00;50;30;R$17.100;0Y;R$0;R$0;R$0;R$31.100;0;202510
Jeep;Commander;Overland 1.3 TGDI AT;"JEEP/COMMANDER OVR T;JEEP/COMMANDER OVE 7 270";25/26;Jeep Commander Overland 1.3 TGDI AT 2526;R$273.990;R$10.000;R$16.500;0,00;00;00;;0Y;R$0;R$0;R$0;R$26.500;0;202510
Jeep;Commander;Limited 1.3 TGDI AT;"JEEP/COMMANDER LIM T;JEEP/COMMANDER LIM 7 270";25/26;Jeep Commander Limited 1.3 TGDI AT 2526;R$246.990;R$10.000;R$14.500;0,00;00;00;;0Y;R$0;R$0;R$0;R$24.500;0;202510
GWM;Haval H6;2 1.5 TGDI HEV DHT;"I/GWM HAVAL H6 PREM HEV;I/GWM HAVAL H6 HEV2";25/25;GWM Haval H6 2 1.5 TGDI HEV DHT 2525;R$220.000;R$0;R$15.000;0,00;60;24;R$11.700;1Y;R$0;R$0;R$5.000;R$26.700;0;202510
GWM;Haval H9;Exclusive 2.4 TD AT;I/GWM HAVAL H9 EXC;25/26;GWM Haval H9 Exclusive 2.4 TD AT 2526;R$319.000;R$0;R$0;1,45;50;36;R$0;0Y;R$0;R$0;R$0;R$0;0;202510
Ford;Territory;Titanium 1.5 TGDI AT;I/FORD TERRITORY 1.5T;25/26;Ford Territory Titanium 1.5 TGDI AT 2526;R$215.000;R$15.000;R$0;0,00;00;00;;0Y;R$0;R$0;R$0;R$15.000;0;202510
